X,Y,Z, strike, dip
446912.4043,5046741.883,1543,326.157135,63.92039108
446911.6652,5046742.45,1543,306.6366577,74.48959351
447047.8782,5047041.053,1539,170.1455689,23.45004654
447052.213,5047097.947,1533,203.8375855,22.44519615
447025.0334,5047114.939,1527,82.53157043,4.73826265
447042.2031,5047061.774,1537,329.4237671,89
447020.7391,5046990.628,1538,39.78253174,16.18868637
447019.2379,5046978.994,1538,1.35257721,15.31948185
447018.0864,5046956.864,1539,304.9679871,9.58927441
446921.4424,5046813.027,1536,344.4071045,11.86580372
446929.4381,5046790.006,1540,110.9737091,13.55183411
446911.0111,5046729.145,1544,189.9036865,31.08566284
446944.9276,5046678.308,1547,5.30686951,26.01673889
446968.9133,5046551.566,1560,187.8789673,30.77746773
446965.6641,5046548.712,1561,114.6919251,30.50106621
446967.553,5046538.667,1562,206.9944153,40.86881256
446994.4459,5046489.537,1563,167.1115723,29.38337708
446991.0666,5046484.569,1564,190.8606567,16.93399239
446955.8547,5046448.683,1566,205.8426514,55.03824615
446932.6169,5046464.305,1570,331.2767639,32.43222809
446933.7536,5046461.812,1570,21.77729797,44.92587662
446920.8306,5046468.595,1571,342.520752,31.31461716
446914.9857,5046475.344,1570,334.015625,34.33808899
446914.6492,5046476.144,1569,129.9766846,38.87779236
446917.4136,5046478.568,1570,49.84687805,20.60772514
446908.0781,5046491.018,1567,265.7378845,50.11819458
446880.8517,5046489.184,1561,307.6621094,35.96650314
446879.446,5046489.076,1561,284.787323,59.87238693
446894.0566,5046466.234,1568,321.7918396,44.3900528
446887.0355,5046462.487,1559,339.7328491,53.12548447
